direction,time_s,time_min,time_hour,signal,detrended_amplitude,prominence
downward,12096.351001,201.6058500166667,3.360097500277778,-0.432259,-0.013595999999999997,0.014246000000000036
upward,8825.467001,147.09111668333335,2.451518611388889,-0.41824,0.0006809999999999872,0.014176999999999995
downward,5173.138,86.21896666666666,1.4369827777777777,-0.433316,-0.013496000000000008,0.014089000000000018
upward,11154.472001,185.90786668333334,3.098464444722222,-0.418655,0.0006379999999999719,0.01406799999999997
downward,9275.914001,154.59856668333333,2.576642778055555,-0.433112,-0.013429999999999997,0.01406799999999997
downward,7896.152,131.60253333333333,2.1933755555555554,-0.434121,-0.01348100000000002,0.014063000000000048
upward,7199.881,119.99801666666667,1.9999669444444446,-0.419491,0.0005820000000000269,0.014063000000000048
upward,1384.421,23.073683333333335,0.3845613888888889,-0.419293,0.0005930000000000102,0.014003000000000043
downward,942.208,15.703466666666666,0.2617244444444444,-0.433401,-0.013410000000000033,0.013896999999999993
downward,6517.893,108.63155,1.8105258333333334,-0.433172,-0.013288999999999995,0.013847999999999971
upward,5805.184,96.75306666666667,1.6125511111111113,-0.419382,0.0005589999999999762,0.013847999999999971
downward,13492.826001,224.88043335,3.7480072225,-0.431922,-0.01344200000000001,0.01377600000000001
upward,12242.469001,204.04115001666665,3.400685833611111,-0.418311,0.00033400000000000096,0.01377600000000001
upward,4122.467,68.70778333333332,1.145129722222222,-0.419268,0.0004189999999999472,0.013757999999999992
downward,3784.614,63.0769,1.0512816666666667,-0.433103,-0.013339000000000045,0.013757999999999992
upward,10673.463001,177.89105001666667,2.964850833611111,-0.419095,0.0004950000000000232,0.013748000000000038
downward,10684.186001,178.06976668333334,2.967829444722222,-0.432902,-0.013253000000000015,0.013748000000000038
upward,2500.46,41.67433333333334,0.6945722222222223,-0.419234,0.00022500000000003073,0.013390999999999986
downward,2383.214,39.72023333333333,0.6620038888888888,-0.432524,-0.013165999999999956,0.013390999999999986
upward,13732.995001,228.88325001666666,3.814720833611111,-0.417522,0.0006500000000000394,0.009334000000000064
upward,9682.353001,161.37255001666665,2.6895425002777777,-0.419497,0.0004350000000000187,0.009170000000000011
downward,10040.569001,167.34281668333333,2.789046944722222,-0.428614,-0.008734999999999993,0.009170000000000011
downward,10990.851001,183.18085001666668,3.0530141669444446,-0.428514,-0.008861000000000008,0.009122000000000019
upward,10935.497001,182.25828335,3.0376380558333334,-0.419346,0.0002610000000000112,0.009122000000000019
upward,13482.911001,224.71518335000002,3.7452530558333335,-0.418106,0.00028000000000000247,0.009091000000000016
downward,12868.101001,214.46835001666668,3.574472500277778,-0.427718,-0.008811000000000013,0.009091000000000016
downward,11942.477001,199.04128335,3.3173547224999997,-0.427673,-0.008720999999999979,0.009085999999999983
upward,11995.450001,199.9241666833333,3.332069444722222,-0.418489,0.0003650000000000042,0.009085999999999983
downward,5470.959,91.18265,1.5197108333333333,-0.428756,-0.008668999999999982,0.009078999999999948
upward,5281.927,88.03211666666667,1.4672019444444444,-0.419638,0.00040999999999996595,0.009078999999999948
upward,7388.948,123.14913333333334,2.0524855555555557,-0.419605,0.0005040000000000044,0.009041000000000021
downward,7292.369,121.53948333333332,2.0256580555555557,-0.428716,-0.008537000000000017,0.009041000000000021
upward,886.644,14.7774,0.24629,-0.419384,0.0004149999999999987,0.008992
downward,761.289,12.68815,0.21146916666666665,-0.428259,-0.008577000000000001,0.008992
upward,7963.963,132.73271666666668,2.2122119444444444,-0.420463,0.00017600000000000948,0.00897500000000001
downward,8187.540001,136.45900001666666,2.2743166669444443,-0.429394,-0.008799000000000001,0.00897500000000001
upward,6418.629,106.97715,1.7829525,-0.419578,0.00033400000000000096,0.008957000000000048
downward,6367.945,106.13241666666666,1.768873611111111,-0.428552,-0.008623000000000047,0.008957000000000048
downward,4532.171,75.53618333333334,1.258936388888889,-0.428429,-0.008640000000000037,0.008910000000000029
upward,4758.443,79.30738333333333,1.3217897222222224,-0.41911,0.00026999999999999247,0.008910000000000029
downward,13823.814001,230.39690001666668,3.8399483336111113,-0.427243,-0.008684000000000025,0.008882000000000001
upward,3734.378,62.23963333333334,1.0373272222222223,-0.419518,0.00017699999999998273,0.008863999999999983
downward,3592.972,59.88286666666667,0.9980477777777779,-0.428447,-0.008687,0.008863999999999983
upward,3266.067,54.43445,0.9072408333333334,-0.419776,0.00021299999999996322,0.008801000000000003
downward,2665.172,44.419533333333334,0.7403255555555556,-0.428655,-0.00858800000000004,0.008801000000000003
downward,1700.889,28.348149999999997,0.47246916666666666,-0.42821,-0.008288000000000018,0.008660000000000057
upward,2336.447,38.940783333333336,0.6490130555555556,-0.41886,0.00037200000000003897,0.008660000000000057
upward,9258.386001,154.30643335000002,2.571773889166667,-0.419451,0.00015900000000002024,0.008653000000000022
downward,9125.780001,152.09633334999998,2.5349388891666664,-0.427928,-0.008494000000000002,0.008653000000000022
upward,13946.633001,232.44388335,3.8740647225,-0.418608,0.00012499999999998623,0.001697000000000004
